title,company,location,remote,url,created_at,tags,description
Working Student Strategy & Operations (m/f/d),Gorillas,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-1,2026-05-07T08:13:27+00:00,"strategy, operations, working-student","Join our strategy and operations team as a Working Student in Berlin.
You will support senior consultants on key projects including process optimization and financial modeling.
Strong Excel and PowerPoint skills are mandatory. SQL knowledge is a big plus.
You will conduct market research, competitive intelligence, and SWOT analysis.
Stakeholder management and communication skills are essential.
Experience with project management tools like Notion, Jira or Confluence preferred.
Knowledge of agile and scrum methodologies is advantageous.
We use data analytics and Power BI dashboards for reporting and KPI tracking.
English C1 level required; German B2 or above strongly preferred."
Junior Consultant / Working Student Strategy (m/f/d),Raisin,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-2,2026-06-09T08:13:27+00:00,"consulting, strategy, junior","We are a Berlin-based strategy consultancy seeking a Junior Consultant or Working Student.
You will support client-facing strategy projects including business model analysis and due diligence.
Strong analytical and problem solving skills are essential, along with excellent PowerPoint skills.
You will apply frameworks including SWOT, PESTLE, and Business Model Canvas.
Financial modeling in Excel and stakeholder management experience are highly valued.
Project management experience and proficiency in tools like Notion or Asana preferred.
German C1 and English C1 required for client communication.
Experience in market research, competitive analysis, and pitch deck creation is a plus."
Intern Marketing & Growth (m/f/d),Pitch,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-3,2026-06-17T08:13:27+00:00,"marketing, growth, intern","We are looking for a Marketing and Growth Intern to support our performance marketing team.
You will work on SEO, SEM, and Google Ads campaigns targeting European markets.
Proficiency in Google Analytics, Excel, and social media platforms required.
Experience with email marketing, HubSpot, or Salesforce CRM is a plus.
You will own campaign management from briefing to reporting, tracking KPIs and ROI.
Content marketing, copywriting, and basic data visualization skills appreciated.
You will run A/B testing and support lead generation initiatives.
Fluent English required; German C1 preferred."
Werkstudent SEO & Content Strategy (m/f/d),N26,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-4,2026-05-17T08:13:27+00:00,"seo, content, marketing","Our digital marketing team is hiring a Werkstudent for SEO and Content Strategy.
You will conduct SEO audits, keyword research, and competitive analysis for European markets.
Proficiency in Google Search Console, Ahrefs, Semrush, or Ubersuggest is required.
Experience with Google Analytics, Google Ads, and SEM campaigns is a strong plus.
Content marketing and copywriting skills appreciated.
Excel for reporting and HubSpot CRM familiarity preferred.
Fluent English required; German C1 is a strong advantage."
Werkstudent Venture & Investment Analysis (m/f/d),Tier Mobility,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-5,2026-06-22T08:13:27+00:00,"venture-capital, investment, analysis","Our venture capital team is looking for an analytical Werkstudent.
You will support deal sourcing, due diligence, and competitive intelligence for Series A and B investments.
Strong Excel and financial modeling skills are mandatory.
Experience with market research, investor relations, and pitch deck analysis is valued.
Familiarity with startup ecosystems and go-to-market strategy.
Python or R for data analysis is a strong plus. Tableau or Power BI experience preferred.
Fluent English and German (B2+) required."
Working Student Strategy & Operations (m/f/d),Moss,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-6,2026-06-09T08:13:27+00:00,"strategy, operations, working-student","Join our strategy and operations team as a Working Student in Berlin.
You will support senior consultants on key projects including process optimization and financial modeling.
Strong Excel and PowerPoint skills are mandatory. SQL knowledge is a big plus.
You will conduct market research, competitive intelligence, and SWOT analysis.
Stakeholder management and communication skills are essential.
Experience with project management tools like Notion, Jira or Confluence preferred.
Knowledge of agile and scrum methodologies is advantageous.
We use data analytics and Power BI dashboards for reporting and KPI tracking.
English C1 level required; German B2 or above strongly preferred."
Werkstudent SEO & Content Strategy (m/f/d),Wefox,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-7,2026-06-22T08:13:27+00:00,"seo, content, marketing","Our digital marketing team is hiring a Werkstudent for SEO and Content Strategy.
You will conduct SEO audits, keyword research, and competitive analysis for European markets.
Proficiency in Google Search Console, Ahrefs, Semrush, or Ubersuggest is required.
Experience with Google Analytics, Google Ads, and SEM campaigns is a strong plus.
Content marketing and copywriting skills appreciated.
Excel for reporting and HubSpot CRM familiarity preferred.
Fluent English required; German C1 is a strong advantage."
Werkstudent SEO & Content Strategy (m/f/d),Moss,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-8,2026-05-09T08:13:27+00:00,"seo, content, marketing","Our digital marketing team is hiring a Werkstudent for SEO and Content Strategy.
You will conduct SEO audits, keyword research, and competitive analysis for European markets.
Proficiency in Google Search Console, Ahrefs, Semrush, or Ubersuggest is required.
Experience with Google Analytics, Google Ads, and SEM campaigns is a strong plus.
Content marketing and copywriting skills appreciated.
Excel for reporting and HubSpot CRM familiarity preferred.
Fluent English required; German C1 is a strong advantage."
Werkstudent SEO & Content Strategy (m/f/d),Zolar,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-9,2026-06-09T08:13:27+00:00,"seo, content, marketing","Our digital marketing team is hiring a Werkstudent for SEO and Content Strategy.
You will conduct SEO audits, keyword research, and competitive analysis for European markets.
Proficiency in Google Search Console, Ahrefs, Semrush, or Ubersuggest is required.
Experience with Google Analytics, Google Ads, and SEM campaigns is a strong plus.
Content marketing and copywriting skills appreciated.
Excel for reporting and HubSpot CRM familiarity preferred.
Fluent English required; German C1 is a strong advantage."
Intern Business Intelligence & Reporting (m/f/d),HelloFresh,"Berlin, Germany",False,https://www.arbeitnow.com/jobs/sample-10,2026-06-06T08:13:27+00:00,"business-intelligence, reporting, data","We are looking for a Business Intelligence Intern to join our data team in Berlin.
You will create and maintain Power BI and Tableau dashboards for leadership reporting.
SQL proficiency is required for data extraction and transformation.
Strong Excel skills including pivot tables and VLOOKUP are valued.
Python (Pandas, NumPy) experience for data automation is a significant plus.
You will define and track KPIs and build reporting frameworks.
English and German communication skills essential."
